Raw Input (OMIT FROM MAP),Date,Type of Beacon,Type of Rescue,Beacon Description,Latitude,Longitude,# Saves,Homeport,Description
"Home Port - Jacksonville, FL 
On 12 February 2020 at 2232 UTC (1732 EST) a Personal Locator Beacon (PLB) was detected at 30 28.9N 80 17.6W, 71 NM east of Jacksonville, FL. It was activated when the fishing vessel FISH BONE, with 4 people on board, became disabled. Coast Guard District 7 (CGD07) received the alert and directed Sector Jacksonville to issue an Urgent Marine Information Broadcast (UMIB). The Navy vessel USS SHAMAL was operating in the area and responded to the UMIB, arrived on scene, and confirmed there were no injuries. CGD07 and Navy vessels towed the FISH BONE and its uninjured crew to Jacksonville, FL. 
4 SARSAT RESCUES 
",02/12/2020,PLB,M,PLB (Personal Locator Beacon),30.48166667,-80.29333333,4,"Home Port - Jacksonville, FL ","On 12 February 2020 at 2232 UTC (1732 EST) a Personal Locator Beacon (PLB) was detected at 30 28.9N 80 17.6W, 71 NM east of Jacksonville, FL. It was activated when the fishing vessel FISH BONE, with 4 people on board, became disabled. Coast Guard District 7 (CGD07) received the alert and directed Sector Jacksonville to issue an Urgent Marine Information Broadcast (UMIB). The Navy vessel USS SHAMAL was operating in the area and responded to the UMIB, arrived on scene, and confirmed there were no injuries. CGD07 and Navy vessels towed the FISH BONE and its uninjured crew to Jacksonville, FL. "
"Home Port - Cheyenne, WY
On 14 February 2020 at 0159 UTC (2059 EST) a Personal Locator Beacon (PLB) was detected at 42 35.7N 108 55.1W, 17 miles southwest of Lander, WY. It was activated when a snowmobile, with 2 people on board, became disabled. The Air Force Rescue Coordination Center received the alert and contacted Fremont County Law Enforcement, which dispatched a Fremont County search and rescue ground team to the scene. The snowmobile was located and its passengers were assisted to safety. 
2 SARSAT RESCUES
",02/14/2020,PLB,T,PLB (Personal Locator Beacon),42.595,-108.9183333,2,"Home Port - Cheyenne, WY","On 14 February 2020 at 0159 UTC (2059 EST) a Personal Locator Beacon (PLB) was detected at 42 35.7N 108 55.1W, 17 miles southwest of Lander, WY. It was activated when a snowmobile, with 2 people on board, became disabled. The Air Force Rescue Coordination Center received the alert and contacted Fremont County Law Enforcement, which dispatched a Fremont County search and rescue ground team to the scene. The snowmobile was located and its passengers were assisted to safety. "
"Home Port - Not Registered
On 14 February 2020 at 1831 UTC (1331 EST) a Personal Locator Beacon (PLB) was detected at 26 29.2N 78 48.1W, 2 NM southwest of Freeport, Bahamas. It was activated when a 25-foot fishing vessel, with 1 person on board, ran aground. Coast Guard District 07 received the alert and contacted the Coast Guard Liaison Officer for the Bahamas, who forwarded the position to the Bahamas Air Sea Rescue Association (BASRA). BASRA launched a helicopter to the position and assisted the grounded vessel. 
1 SARSAT RESCUE
",02/14/2020,PLB,M,PLB (Personal Locator Beacon),26.48666667,-78.80166667,1,Home Port - Not Registered,"On 14 February 2020 at 1831 UTC (1331 EST) a Personal Locator Beacon (PLB) was detected at 26 29.2N 78 48.1W, 2 NM southwest of Freeport, Bahamas. It was activated when a 25-foot fishing vessel, with 1 person on board, ran aground. Coast Guard District 07 received the alert and contacted the Coast Guard Liaison Officer for the Bahamas, who forwarded the position to the Bahamas Air Sea Rescue Association (BASRA). BASRA launched a helicopter to the position and assisted the grounded vessel. "
"Home Port - Midvale, UT
On 17 February 2020 at 2018 UTC (1518 EST) a Personal Locator Beacon (PLB) was detected at 38 34.7N 109 37.9W, 4 miles west of Moab, UT. It was activated after a hiker was injured. The Air Force Rescue Coordination Center received the alert and contacted the Carbon County Sheriff's Department, which was already investigating the distress. The Sheriff’s Department deployed a helicopter to the SARSAT position and transported the injured hiker to a hospital. 
1 SARSAT RESCUE
",02/17/2020,PLB,M,PLB (Personal Locator Beacon),38.57833333,-109.6316667,1,"Home Port - Midvale, UT","On 17 February 2020 at 2018 UTC (1518 EST) a Personal Locator Beacon (PLB) was detected at 38 34.7N 109 37.9W, 4 miles west of Moab, UT. It was activated after a hiker was injured. The Air Force Rescue Coordination Center received the alert and contacted the Carbon County Sheriff's Department, which was already investigating the distress. The Sheriff’s Department deployed a helicopter to the SARSAT position and transported the injured hiker to a hospital. "
"Home Port - Anchorage, AK
On 18 February 2020 at 2324 UTC (1824 EST) an Emergency Locator Transmitter (ELT) was detected at 64 45.5N 161 38.2W, 16 NM southwest of Koyuk, AK. It was manually activated after an aircraft, with 2 people on board, crash-landed. The Alaska Rescue Coordination Center (AKRCC) received the alert after receiving a report of a downed aircraft. The AKRCC directed a Koyuk search and rescue team to the SARSAT position. The uninjured passengers were located and transported to Koyuk. 
2 SARSAT RESCUES
",02/18/2020,ELT,A,"ELT (Emergency Locator Transmitter, Aviation Applications)",64.75833333,-161.6366667,2,"Home Port - Anchorage, AK","On 18 February 2020 at 2324 UTC (1824 EST) an Emergency Locator Transmitter (ELT) was detected at 64 45.5N 161 38.2W, 16 NM southwest of Koyuk, AK. It was manually activated after an aircraft, with 2 people on board, crash-landed. The Alaska Rescue Coordination Center (AKRCC) received the alert after receiving a report of a downed aircraft. The AKRCC directed a Koyuk search and rescue team to the SARSAT position. The uninjured passengers were located and transported to Koyuk. "
"Home Port - Hooper Bay, AK
On 20 February 2020 at 0529 UTC (0029 EST) a Personal Locator Beacon (PLB) was detected at 61 55.0N 164 43.1W, 29 miles east of Scammon Bay, AK in the Yukon Delta National Wildlife Refuge. It was activated when a snowmobile became disabled. The Alaska Rescue Coordination Center received the alert and notified the Alaska State Troopers, who provided assistance. There were no injuries reported. 
2 SARSAT RESCUES
",02/20/2020,PLB,T,PLB (Personal Locator Beacon),61.91666667,-164.7183333,2,"Home Port - Hooper Bay, AK","On 20 February 2020 at 0529 UTC (0029 EST) a Personal Locator Beacon (PLB) was detected at 61 55.0N 164 43.1W, 29 miles east of Scammon Bay, AK in the Yukon Delta National Wildlife Refuge. It was activated when a snowmobile became disabled. The Alaska Rescue Coordination Center received the alert and notified the Alaska State Troopers, who provided assistance. There were no injuries reported. "
"Home Port - Barrow, AK
On 23 February 2020 at 0058 UTC (1958 EST) a Personal Locator Beacon (PLB) was detected at 69 54.6N 161 45.6W, 32 miles northeast of Point Lay, AK. It was activated after the engine blew on the beacon owner's snowmobile. The Alaska Rescue Coordination Center received the alert and deployed a ground team from North Slope Borough Search and Rescue. The ground team located the individual, but then experienced snowmobile trouble of their own and also became stranded. One of the two rescuers activated a PLB, and upon receiving the alert, the Alaska Rescue Coordination Center deployed a helicopter to the position. The helicopter arrived on scene and transported the rescuers and snowmobiler to safety. 
3 SARSAT RESCUES
",02/23/2020,PLB,T,PLB (Personal Locator Beacon),69.91,-161.76,3,"Home Port - Barrow, AK","On 23 February 2020 at 0058 UTC (1958 EST) a Personal Locator Beacon (PLB) was detected at 69 54.6N 161 45.6W, 32 miles northeast of Point Lay, AK. It was activated after the engine blew on the beacon owner's snowmobile. The Alaska Rescue Coordination Center received the alert and deployed a ground team from North Slope Borough Search and Rescue. The ground team located the individual, but then experienced snowmobile trouble of their own and also became stranded. One of the two rescuers activated a PLB, and upon receiving the alert, the Alaska Rescue Coordination Center deployed a helicopter to the position. The helicopter arrived on scene and transported the rescuers and snowmobiler to safety. "
"Home Port - Spain
On 08 March 2020 at 1251 UTC (0851 EDT) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 33 14.9N 46 15.3W, 922 NM east of Bermuda. It was activated when the fishing vessel NUEVO EUSTAQUIO, with 10 people on board, began taking on water. Coast Guard District 5 received the alert and issued an Enhanced Group Call. The fishing vessel PARALELO responded to the call, arrived on scene, and safely embarked everyone from the NUEVO EUSTAQUIO. 
10 SARSAT RESCUES
",03/08/2020,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",33.24833333,-46.255,10,Home Port - Spain,"On 08 March 2020 at 1251 UTC (0851 EDT) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 33 14.9N 46 15.3W, 922 NM east of Bermuda. It was activated when the fishing vessel NUEVO EUSTAQUIO, with 10 people on board, began taking on water. Coast Guard District 5 received the alert and issued an Enhanced Group Call. The fishing vessel PARALELO responded to the call, arrived on scene, and safely embarked everyone from the NUEVO EUSTAQUIO. "
"Home Port - Phoenix, AZ
On 08 March 2020 at 1505 UTC (1105 EDT)a Personal Locator Beacon (PLB) was detected at 34 09.5N 116 42.5W, 10 miles southeast of Big Bear, CA in the San Bernardino National Forest. It was activated by a hiker who was unable to complete his hike due to darkness. The Air Force Rescue Coordination Center received the alert and contacted the San Bernardino County Sheriff’s Department, which deployed a ground crew to the hiker’s position and transported him to safety. 
1 SARSAT RESCUE
",03/08/2020,PLB,T,PLB (Personal Locator Beacon),34.15833333,-116.7083333,1,"Home Port - Phoenix, AZ","On 08 March 2020 at 1505 UTC (1105 EDT)a Personal Locator Beacon (PLB) was detected at 34 09.5N 116 42.5W, 10 miles southeast of Big Bear, CA in the San Bernardino National Forest. It was activated by a hiker who was unable to complete his hike due to darkness. The Air Force Rescue Coordination Center received the alert and contacted the San Bernardino County Sheriff’s Department, which deployed a ground crew to the hiker’s position and transported him to safety. "
"Home Port - Not Registered 
On 21 March 2020 at 1745 UTC a PLB was detected at 27 48.7N 83 02.5W, 14 NM southwest of Clearwater, FL. It was activated after a sailing vessel, with 2 people on board, capsized. Coast Guard District 7 received the alert, then diverted an aircraft to the scene and launched a rescue vessel from Station St. Petersburg (STASTP). STASTP arrived on scene and embarked the 2 boaters, found clinging to the capsized vessel's hull. No medical attention was required and the passengers were transported to shore; commercial towing was dispatched to salvage the vessel. 
2 SARSAT RESCUES
",03/21/2020,PLB,M,PLB (Personal Locator Beacon),27.81166667,-83.04166667,2,Home Port - Not Registered ,"On 21 March 2020 at 1745 UTC a PLB was detected at 27 48.7N 83 02.5W, 14 NM southwest of Clearwater, FL. It was activated after a sailing vessel, with 2 people on board, capsized. Coast Guard District 7 received the alert, then diverted an aircraft to the scene and launched a rescue vessel from Station St. Petersburg (STASTP). STASTP arrived on scene and embarked the 2 boaters, found clinging to the capsized vessel's hull. No medical attention was required and the passengers were transported to shore; commercial towing was dispatched to salvage the vessel. "
"Home Port - Miami, FL 
On 26 March 2020 at 1817 UTC a PLB was detected at 25 42.8N 79 42.0W, 27 NM east of Miami, FL. It was activated after a 32-ft fishing vessel, with 6 people on board, ran out of gas. Coast Guard District 7 received the alert, then launched an aircraft and diverted a response boat to the scene. The response boat confirmed that all passengers were safe and placed the vessel in tow until commercial towing assistance arrived and provided fuel. The fishing vessel resumed power and no further assistance was needed. 
6 SARSAT RESCUES 
",03/26/2020,PLB,M,PLB (Personal Locator Beacon),25.71333333,-79.7,6,"Home Port - Miami, FL ","On 26 March 2020 at 1817 UTC a PLB was detected at 25 42.8N 79 42.0W, 27 NM east of Miami, FL. It was activated after a 32-ft fishing vessel, with 6 people on board, ran out of gas. Coast Guard District 7 received the alert, then launched an aircraft and diverted a response boat to the scene. The response boat confirmed that all passengers were safe and placed the vessel in tow until commercial towing assistance arrived and provided fuel. The fishing vessel resumed power and no further assistance was needed. "
"Home Port - Australia
On 27 March 2020 at 1630 UTC (1130 EST) a Personal Locator Beacon (PLB) was detected at 33 44.6N 116 42.9W, in Mt. San Jacinto State Park in Idyllwild–Pine Cove, CA. It was activated by a group of 3 hikers who were stuck at the bottom of a mountain while attempting to rescue a hiker who had fallen. The Air Force Rescue Coordination Center received the alert and contacted the California Office of Emergency Services. The fallen hiker was found deceased and the surviving hikers were transported to safety. 
3 SARSAT RESCUES
",03/27/2020,PLB,T,PLB (Personal Locator Beacon),33.74333333,-116.715,3,Home Port - Australia,"On 27 March 2020 at 1630 UTC (1130 EST) a Personal Locator Beacon (PLB) was detected at 33 44.6N 116 42.9W, in Mt. San Jacinto State Park in Idyllwild–Pine Cove, CA. It was activated by a group of 3 hikers who were stuck at the bottom of a mountain while attempting to rescue a hiker who had fallen. The Air Force Rescue Coordination Center received the alert and contacted the California Office of Emergency Services. The fallen hiker was found deceased and the surviving hikers were transported to safety. "
"Home Port - Mount Pleasant, SC
On 28 March 2020 at 2018 UTC (1518 EST) a Personal Locator Beacon (PLB) was detected at 14 25.3N 72 20.2W, 175 NM northwest of Aruba. It was activated after a 42-ft pleasure craft, with 2 people on board, lost steering capability. Coast Guard District 7 received the alert and contacted Netherlands Antilles Search and Rescue, which located the vessel, safely embarked the passengers, and transported them to Cameron, LA. 
2 SARSAT RESCUES
",03/28/2020,PLB,M,PLB (Personal Locator Beacon),14.42166667,-72.33666667,2,"Home Port - Mount Pleasant, SC","On 28 March 2020 at 2018 UTC (1518 EST) a Personal Locator Beacon (PLB) was detected at 14 25.3N 72 20.2W, 175 NM northwest of Aruba. It was activated after a 42-ft pleasure craft, with 2 people on board, lost steering capability. Coast Guard District 7 received the alert and contacted Netherlands Antilles Search and Rescue, which located the vessel, safely embarked the passengers, and transported them to Cameron, LA. "
"Home Port - Bay City, TX
On 06 April 2020 at 0438 UTC (2338 EST) a Personal Locator Beacon (PLB) was detected at 26 40.6N 79 57.6W, 4 NM east of Palm Beach, FL. It was activated by the operator of a 26-ft sailing vessel that was disabled due to steering loss. Coast Guard District 7 (CGD07) received the alert at the same time Sector Miami (SECMIA) received a report of a disabled vessel in the same location. SECMIA issued an Urgent Marine Information Broadcast and launched a rescue boat from Station Lake Worth Inlet (STALWI). CGD07 launched a helicopter from Air Station Miami that arrived on scene and vectored in STALWI to the beacon location. STALWI towed the disabled vessel and its operator safely to Riviera Beach Marina.
1 SARSAT RESCUE
",04/06/2020,PLB,M,PLB (Personal Locator Beacon),26.67666667,-79.96,1,"Home Port - Bay City, TX","On 06 April 2020 at 0438 UTC (2338 EST) a Personal Locator Beacon (PLB) was detected at 26 40.6N 79 57.6W, 4 NM east of Palm Beach, FL. It was activated by the operator of a 26-ft sailing vessel that was disabled due to steering loss. Coast Guard District 7 (CGD07) received the alert at the same time Sector Miami (SECMIA) received a report of a disabled vessel in the same location. SECMIA issued an Urgent Marine Information Broadcast and launched a rescue boat from Station Lake Worth Inlet (STALWI). CGD07 launched a helicopter from Air Station Miami that arrived on scene and vectored in STALWI to the beacon location. STALWI towed the disabled vessel and its operator safely to Riviera Beach Marina."
"Home Port - Matlacha, FL
On 25 January 2020 at 1630 UTC (1130 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 26 43.3N 83 00.9W, 57 NM northwest of Cape Coral, FL. It activated when the fishing vessel MAJEK, with 2 people on board, lost power. Coast Guard District 7 received the alert and launched a helicopter from Air Station Clearwater to the SARSAT position. The MAJEK was located and assets remained on scene until a sister ship, SEAMASTER, arrived to tow the MAJEK to its home port in Matlacha. 
2 SARSAT RESCUES
",01/25/2020,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",26.72166667,-83.015,2,"Home Port - Matlacha, FL","On 25 January 2020 at 1630 UTC (1130 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 26 43.3N 83 00.9W, 57 NM northwest of Cape Coral, FL. It activated when the fishing vessel MAJEK, with 2 people on board, lost power. Coast Guard District 7 received the alert and launched a helicopter from Air Station Clearwater to the SARSAT position. The MAJEK was located and assets remained on scene until a sister ship, SEAMASTER, arrived to tow the MAJEK to its home port in Matlacha. "
"Home Port - Miami, FL
On 25 January 2020 at 2018 UTC (1318 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 26 07N 79 01.4W, 30 NM southwest of Freeport, Bahamas. It was activated when the pleasure craft K ME UP, with 5 people on board, became disabled. Coast Guard District 7 received the alert, issued an Urgent Marine Information Broadcast (UMIB), and launched an aircraft from Air Station Miami. A Good Samaritan vessel responded to the UMIB and towed the K ME UP to Bimini, Bahamas. 
5 SARSAT RESCUES
",01/25/2020,EPIRB,M,"EPIRB (Emergency Position-Indicating Radio Beacon, Maritime Applications)",26.11666667,-79.02333333,5,"Home Port - Miami, FL","On 25 January 2020 at 2018 UTC (1318 EST) an Emergency Position Indicating Radio Beacon (EPIRB) was detected at 26 07N 79 01.4W, 30 NM southwest of Freeport, Bahamas. It was activated when the pleasure craft K ME UP, with 5 people on board, became disabled. Coast Guard District 7 received the alert, issued an Urgent Marine Information Broadcast (UMIB), and launched an aircraft from Air Station Miami. A Good Samaritan vessel responded to the UMIB and towed the K ME UP to Bimini, Bahamas. "
